Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,Dirt,Medal,Unofficial,Girl
73,,Guangdong University of Technology,GDUT_Lack_eat_and_sleep,3,453,+1(18),-,-12,-,-,+1(291),-,-,-,-,+1(144),0%,Honorable,N,N
74,42,Southwest Jiaotong University,someone CET6 ＞ 425,3,458,+1(94),-,-3,-,-1,+1(230),-,-,-,-,+1(134),0%,Honorable,N,N
75,43,Zhejiang SCI-TECH University,Getting_Wause,3,462,+1(37),-,-8,-,-,+1(263),-,-,-,-,+1(162),0%,Honorable,N,N
76,44,Jishou University,3-robot-man,3,475,+1(33),-,-,-,-,+1(186),-,-,-,-,+1(256),0%,Honorable,N,N
77,45,Beijing Normal University at Zhuhai,Just for free tour,3,489,+1(22),-,-,-,-,+1(298),-,-,-,-,+1(169),0%,Honorable,N,N
78,46,Wuhan University of Technology,El Psy Congroo,3,553,+1(169),-,-,-,-,+1(135),-2,-,-,-,+1(249),0%,Honorable,N,N
79,,South China University of Technology,Get up early and eat egg tart,2,71,+1(28),-,-21,-,-,-6,-,-,-,-,+1(43),0%,Honorable,N,N
80,,Shandong University,NanTong comes to me,2,132,+1(29),-,-,-,-,-12,-,-,-,-,+1(103),0%,Honorable,N,N
81,47,South China Normal University,Is delaying class until 10:30pm to cultivate feelings?,2,146,+1(37),-,-,-,-,-3,-,-,-,-,+1(109),0%,Honorable,N,N
82,,Guangdong University of Technology,GDUT_Uni-Grade Fleet,2,153,+1(53),-,-7,-,-,-6,-,-,-,-,+1(100),0%,Honorable,N,N
83,,Peking University,ordinary but confident,2,173,+1(66),-,-5,-,-5,-,-,-,-,-,+1(107),0%,Honorable,N,N
83,,Hangzhou Normal University,still naïve,2,173,+1(22),-,-,-,-,-15,-,-,-,-,+1(151),0%,Honorable,N,N
85,48,Changshu Institute of Technology,Top order spirit,2,174,+1(45),-,-,-,-,-4,-,-,-,-,+1(129),0%,Honorable,N,N
86,49,Macau University of Science and Technology,MUST AC Machine,2,193,+1(65),-,-,-,-,-4,-,-,-,-,+1(128),0%,Honorable,N,N
87,,South China Normal University,"let's go,rookies",2,199,+1(90),-1,-,-,-,-15,-,-,-,-,+1(109),0%,Honorable,N,N
88,50,Zhejiang University of Science & Technology,fansOfJYF,2,209,+1(26),-1,-14,-1,-,+1(183),-,-,-,-,-11,0%,Honorable,N,N
89,,Northeastern University at Qinhuangdao,Time is quite enough,2,225,+1(144),-,-1,-,-,-1,-,-,-,-,+1(81),0%,Honorable,N,N
90,,Hong Kong University of Science and Technology,HKUST3,2,244,+1(66),-,-,-,-,-10,-,-,-,-,+1(178),0%,Honorable,N,N
91,,Wuhan University of Technology,CONTEST=A NEW GARMENT,2,250,+1(145),-,-,-,-,-13,-,-,-,-,+1(105),0%,Honorable,N,N
92,51,Neusoft Institute Guangdong,Three GG Two,2,270,+1(70),-,-,-,-,-17,-,-,-,-,+1(200),0%,Honorable,N,N
93,,Northeastern University at Qinhuangdao,Our coach can’t write sign in questions,2,294,+1(41),-,-,-,-,-17,-,-,-,-,+1(253),0%,Honorable,N,N
94,,Zhengzhou University,The sniper had,2,302,+1(61),-,-,-,-3,+1(241),-,-,-,-,-,0%,Honorable,N,N
95,52,Civil Aviation University of China,Trip in three,2,383,+1(95),-,-,-,-,+1(288),-,-,-,-,-2,0%,Honorable,N,N
96,53,South-Central Minzu University,Full Combo,2,417,+1(164),-,-,-,-,-8,-,-,-,-,+1(253),0%,Honorable,N,N
97,,Wuhan University of Technology,Have Happy Together Enjoy Have Hard Together Back Team,2,435,+1(193),-,-6,-,-,+1(242),-,-,-2,-,-,0%,Honorable,N,N
98,,Zhejiang University of Science & Technology,sleeping in a jam,2,459,-7,-,-,-,-,+1(263),-,-,-,-,+1(196),0%,Honorable,N,N
99,54,SouthWest Minzu University,Schrodinger’s Wrong Answer,1,99,+1(99),-,-,-,-,-5,-,-,-,-,-,0%,Honorable,N,N
100,55,Hefei University,Three Squirrels,1,120,+1(120),-,-,-,-,-,-1,-,-2,-,-1,0%,Honorable,N,N
101,,South-Central Minzu University,ECHO,1,151,+1(151),-,-,-,-,-,-,-,-,-,-,0%,Honorable,N,N
102,,Macau University of Science and Technology,404,1,242,-7,-,-,-,-,-,-,-,-,-,+1(242),0%,Honorable,N,N
103,56,University of Macau,Look For Sponsor,0,0,-,-,-,-,-7,-8,-,-,-,-,-,0%,Honorable,N,N
103,,University of Macau,MOva,0,0,-3,-,-5,-,-1,-1,-,-,-,-,-,0%,Honorable,N,N
103,,University of Macau,Never gonna give you up,0,0,-,-,-,-,-9,-8,-3,-,-,-,-,0%,Honorable,N,N
103,56,Hong Kong Polytechnic University,POLYU1,0,0,-1,-,-,-,-,-,-19,-1,-,-,-,0%,Honorable,N,N
103,WATS,0,0,-4,-,-,-,-,-,-,-,-,-,-10,0%,Honorable,N,N,,
103,,Hong Kong Polytechnic University,polymer,0,0,-1,-,-,-,-,-,-,-,-,-,-,0%,Honorable,N,N
103,56,Quanzhou University of Information Engineering,quie2021,0,0,-2,-,-,-,-,-3,-,-,-,-,-,0%,Honorable,N,N
