Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Coach
187,杭州师范大学,奇迹,2,231,Honorable,曹健,顾佳炜,蔡百容,单振宇
188,哈尔滨工程大学,喵喵喵,2,231,Honorable,魏牧远,刘奕然,张嘉伟,国林
189,湘潭大学,真香,2,232,Honorable,谭清,陈智超,贺强,谢勇
190,山东理工大学,红鲤驴与绿旅驴,2,236,Honorable,张峰,陶鑫灿,史顺晓,王海鹏
191,中北大学,虽千万人吾往矣,2,237,Honorable,陈权威,富文杰,肖志文,潘广贞
192,广东外语外贸大学,我对男人过敏,2,238,Honorable,林泽聪,潘明俊,林冠权,郑琪
193,江南大学,Timi,2,238,Honorable,陈朝潮,王烟波,朱雨南,蒋敏
194,江南大学,天晨破晓,2,247,Honorable,凌晓,乔天池,王晨妮,蒋敏
195,南京航空航天大学,我们是没有感情的ACM杀手,2,251,Honorable,王力,张宗杰,周昊冉,邹春然
196,燕山大学,塔山小树林,2,262,Honorable,杨靖航,龚昊,赵文瑞,穆运峰
197,安徽科技学院,安科一队,2,263,Honorable,计爱玲,刘欢,时涛涛,赵靖
198,暨南大学,刷一题就走,2,265,Honorable,徐锶浩,林越,林凯通,张震
199,江西理工大学,Miss,2,268,Honorable,喻明,陈梓豪,胡昕鑫,陈木生
200,北京林业大学,小跳蛙,2,272,Honorable,王鑫源,李子霂,梅浩,徐艳艳
201,长沙理工大学,先AC题呗,2,275,Honorable,廖彦翔,向婷,王逸峰,章登勇
202,中北大学,铁人三个,2,279,Honorable,李一飞,宋炜,刘倩文,潘广贞
203,河北师范大学,扶我起来我还能AC,2,280,Honorable,李胜鹏,杨子旭,顾凯峰,丁盟
204,河北大学,河北大学英才一队,2,280,Honorable,张轶楠,卢泷瑾,李烁,谢博鋆
205,长春工业大学,无声,2,286,Honorable,任义,许奇珮,苗娟涓,周丽娟
206,福建师范大学,嘤嘤嘤,2,308,Honorable,陈斌,曾佳炜,郑晓栋,吴闻
207,南昌大学,听说你的名字很迷(),2,312,Honorable,姚煦然,胡煜鑫,杜云箫,于海雯
208,北华大学,A,2,325,Honorable,叶泽权,朱硕成,关则迎,张玲玲
209,武汉大学,吃瓜围观群众,2,334,Honorable,底兴,刘江湖,李凌志,董文永
210,桂林电子科技大学,秦皇岛外打鱼船,2,370,Honorable,王志通,郑元昆,章小兵,王文翰
211,哈尔滨理工大学,哈理工24队,2,377,Honorable,杨帆,火振权,赵恩伯,于波
