Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Unofficial,Girl
371,181,西南石油大学（南充校区）,TLE了怎么办,3,331,+1(106),-,-,-,+1(140),-,-,-,-,+1(85),-10,-,-,0%,Honorable,N,N
371,,西南民族大学,奥利奥力给利奥,3,331,+1(61),-,-,-,+1(172),-,-,-,-,+1(98),-5,-,-,0%,Honorable,N,N
373,,西南科技大学,烤羊腿真的香,3,332,+1(48),-,-,-,+1(122),-,-,-,-,+1(162),-8,-,-,0%,Honorable,N,N
373,182,常熟理工学院,Deadline抛光机,3,332,+1(57),-,-,-,+1(105),-,-,-,-,+1(170),-5,-,-,0%,Honorable,N,N
375,183,武汉纺织大学,AC钙奶,3,336,+1(69),-,-,-,+1(141),-,-,-,-,+1(126),-2,-,-,0%,Honorable,N,N
376,,湖北工业大学,AC自动机fail树上dfs序建可持久化线段树,3,341,+1(99),-,-,-3,+1(114),-,-,-,-,+1(128),-11,-,-,0%,Honorable,N,N
377,184,南京大学金陵学院,你要打铁,3,342,+1(28),-,-,-,+1(78),-,-,-,-,+1(236),-2,-,-,0%,Honorable,N,N
378,185,华中农业大学,外星人？,3,351,+1(21),-,-,-,+1(55),-,-,-,-,+1(275),-5,-,-,0%,Honorable,N,N
379,186,武汉工程大学,三泉映月,3,357,+1(154),-,-,-,+1(81),-,-,-,-,+1(122),-5,-,-,0%,Honorable,N,N
379,,西北师范大学,KunKun very gude,3,357,+1(73),-,-,-,+1(175),-,-,-,-,+1(109),-3,-,-,0%,Honorable,N,N
381,187,广东技术师范大学,广度多重可持久化Debug神经网络,3,359,+1(44),-1,-,-,+1(208),-,-,-,-,+1(107),-9,-,-,0%,Honorable,N,N
382,,长春工业大学,ru ying ru xiang,3,365,+1(47),-,-,-,+1(157),-,-,-,-,+1(161),-3,-,-,0%,Honorable,N,N
382,,西北大学,平头哥,3,365,+1(48),-3,-,-,+1(213),-,-,-,-,+1(104),-4,-,-,0%,Honorable,N,N
384,,江西师范大学,我的二叉树被淹了,3,366,+1(86),-,-,-,+1(163),-,-,-,-,+1(117),-1,-,-,0%,Honorable,N,N
385,,河南大学,菜鸟互助,3,367,+1(40),-,-,-,+1(151),-,-,-,-,+1(176),-1,-,-,0%,Honorable,N,N
386,,西北工业大学,黑沙迷魂手队,3,372,+1(47),-,-,-,+1(87),-,-,-,-,+1(238),-4,-,-,0%,Honorable,N,N
387,188,西南石油大学（成都校区）,三个臭皮匠,3,374,+1(62),-,-,-,+1(139),-,-,-,-,+1(173),-1,-,-,0%,Honorable,N,N
388,,中北大学,这次一定,3,375,+1(168),-,-,-,+1(94),-,-,-,-,+1(113),-5,-,-,0%,Honorable,N,N
389,,浙江工商大学,哥斯拉面,3,376,+1(21),-,-,-,+1(77),-,-,-,-,-9,+1(278),-,-,0%,Honorable,N,N
390,189,黄冈师范学院,过来旅个游,3,378,+1(50),-,-,-,+1(119),-,-,-,-,+1(209),-2,-,-,0%,Honorable,N,N
391,,山东师范大学,芜湖起飞,3,380,+1(83),-,-,-,+1(141),-,-,-,-,+1(156),-2,-,-,0%,Honorable,N,N
391,,兰州大学,kachitorita,3,380,+1(56),-1,-,-,+1(27),-,-,-,-,+1(297),-,-,-,0%,Honorable,N,N
393,,中国石油大学,绽放,3,385,+1(152),-,-,-,+1(44),-,-,-,-,+1(189),-20,-,-,0%,Honorable,N,N
394,190,湖北民族大学,1e9+7,3,386,+1(81),-,-,-,+1(114),-,-,-,-,+1(191),-,-,-,0%,Honorable,N,N
395,,河海大学,14C,3,392,+1(22),-,-,-,+1(104),-,-,-,-,+1(266),-4,-,-,0%,Honorable,N,N
396,,合肥学院,亚城木梦叶,3,406,+1(32),-,-,-,+1(115),-,-,-,-,+1(259),-1,-,-,0%,Honorable,N,N
397,191,上海建桥学院,双曲正切队,3,407,+1(37),-2,-,-,+1(240),-,-,-,-,+1(130),-13,-,-,0%,Honorable,N,N
398,192,绍兴文理学院元培学院,云中辉月芬芳香,3,411,+1(135),-,-,-,+1(112),-,-,-,-,+1(164),-10,-,-,0%,Honorable,N,N
399,,齐鲁工业大学,321AC,3,415,+1(96),-,-,-,+1(146),-,-,-,-,+1(173),-2,-,-,0%,Honorable,N,N
400,193,浙江科技学院,队长他她它又双叒叒不见了,3,416,+1(44),-,-,-,+1(297),-,-,-,-,+1(75),-1,-,-,0%,Honorable,N,N
401,,山东师范大学,从零开始的AC生活,3,429,+1(87),-,-,-,+1(144),-,-,-,-,+1(198),-6,-,-,0%,Honorable,N,N
402,194,肇庆学院,LMH_fightttt,3,432,+1(73),-,-,-,+1(144),-,-,-,-,+1(215),-,-,-,0%,Honorable,N,N
403,195,河南科技大学,Triangle,3,433,+1(32),-,-,-,+1(121),-,-,-,-,+1(280),-6,-,-,0%,Honorable,N,N
404,196,石河子大学,快马加鞭队,3,435,+1(47),-,-,-,+1(109),-,-,-,-,+1(279),-5,-,-,0%,Honorable,N,N
405,197,西安邮电大学,正人君子们,3,441,+1(57),-,-,-,+1(92),-,-,-,-,+1(292),-6,-,-,0%,Honorable,N,N
406,,西南石油大学（南充校区）,WA哪咋办嘛,3,463,+1(114),-,-,-,+1(198),-,-,-,-,+1(151),-9,-,-,0%,Honorable,N,N
407,198,内蒙古科技大学,诺言,3,470,+1(99),-,-,-4,+1(159),-,-,-,-,+1(212),-5,-,-,0%,Honorable,N,N
408,199,湖南理工学院,AC全靠嘴,3,471,+1(91),-,-,-,+1(224),-,-,-,-,+1(156),-2,-,-,0%,Honorable,N,N
409,,西南科技大学,这太二次猿了,3,476,+1(94),-,-,-,+1(217),-,-,-,-,+1(165),-,-,-,0%,Honorable,N,N
410,,西安邮电大学,三个臭皮匠,3,485,+1(59),-,-,-,+1(140),-,-,-,-,+1(286),-9,-,-,0%,Honorable,N,N
411,200,昆明理工大学,码德充沛,3,487,+1(34),-2,-,-,+1(167),-,-,-,-,+1(286),-,-,-,0%,Honorable,N,N
412,,河南理工大学,三个猛男,3,490,+1(47),-,-,-,+1(250),-,-,-,-,+1(193),-,-,-,0%,Honorable,N,N
413,201,厦门大学嘉庚学院,乌龙茶,3,497,+1(120),-,-,-,+1(160),-,-,-,-,+1(217),-3,-,-,0%,Honorable,N,N
414,,信息工程大学,名字贼难起,3,499,+1(231),-1,-,-,+1(75),-,-1,-,-,+1(193),-2,-,-,0%,Honorable,N,N
415,202,河北大学,HBUAC,3,505,+1(131),-4,-,-10,+1(112),-,-,-,-,+1(262),-7,-,-,0%,Honorable,N,N
415,202,内蒙古师范大学,Au Copper,3,505,+1(78),-2,-,-,+1(161),-,-,-,-,+1(266),-,-,-,0%,Honorable,N,N
417,,成都东软学院,雷阵雨,3,517,+1(74),-,-,-,+1(241),-,-,-,-,+1(202),-2,-,-,0%,Honorable,N,N
418,204,北京电子科技学院,新手上路,3,551,+1(52),-,-,-,+1(245),-,-,-,-,+1(254),-7,-,-,0%,Honorable,N,N
419,,南阳理工学院,AC小分队,3,561,+1(34),-,-,-,+1(232),-,-,-,-,+1(295),-,-,-,0%,Honorable,N,N
420,205,宁夏大学,宁一,3,563,+1(80),-,-,-,+1(275),-,-,-,-,+1(208),-2,-,-,0%,Honorable,N,N
421,206,上海第二工业大学,清梦星河,2,77,+1(23),-,-,-,+1(54),-,-,-,-,-20,-2,-,-,0%,Honorable,N,N
422,,长沙理工大学,不知道又一个随便名字,2,102,+1(24),-,-,-,+1(78),-,-10,-,-,-8,-1,-,-,0%,Honorable,N,N
423,207,南京林业大学,彳亍,2,103,+1(26),-,-,-,+1(77),-,-,-,-,-4,-2,-,-,0%,Honorable,N,N
424,208,中国石油大学胜利学院,千里迢迢,2,120,+1(52),-,-,-,+1(68),-,-,-,-,-34,-1,-,-,0%,Honorable,N,N
424,,江西师范大学,胡乱AC,2,120,+1(28),-,-,-,+1(92),-,-,-,-,-7,-4,-,-,0%,Honorable,N,N
426,,云南大学,神奇队,2,121,+1(15),-,-,-,+1(106),-,-,-,-,-4,-6,-,-,0%,Honorable,N,N
427,,中国传媒大学,青青草原三键客,2,123,+1(31),-,-,-,+1(92),-,-,-,-,-6,-2,-,-,0%,Honorable,N,N
428,,常熟理工学院,AK但没完全AC,2,130,+1(44),-,-,-,+1(86),-,-,-,-,-1,-2,-,-,0%,Honorable,N,N
429,,湖北工业大学,云天明,2,137,+1(50),-,-,-,+1(87),-,-,-,-,-3,-1,-,-1,0%,Honorable,N,N
430,209,贺州学院,长寿贺州,2,141,+1(21),-,-,-,+1(120),-,-,-,-,-7,-2,-,-,0%,Honorable,N,N
431,,宁夏大学,宁四,2,159,+1(60),-,-,-,+1(99),-,-,-,-,-,-,-,-,0%,Honorable,N,N
431,210,广东财经大学,dolls machines,2,159,+1(46),-2,-,-,+1(113),-,-,-,-,-4,-,-,-,0%,Honorable,N,N
433,211,西华师范大学,理想,2,161,+1(52),-,-,-,+1(109),-,-,-,-,-1,-2,-,-,0%,Honorable,N,N
434,212,东南大学成贤学院,在铜川吃烤全羊,2,167,+1(58),-,-,-,+1(109),-,-,-,-,-2,-,-,-,0%,Honorable,N,N
435,,广西大学,海底捞金,2,169,+1(91),-,-,-,+1(78),-,-,-,-,-5,-4,-,-,0%,Honorable,N,N
435,213,重庆移通学院,赛高泥嗨铁鸭子哒,2,169,+1(57),-3,-,-,-8,-,-,-,-,+1(112),-1,-,-,0%,Honorable,N,N
437,,内蒙古科技大学,三只米兔,2,179,+1(38),-,-,-,+1(141),-,-,-,-,-10,-1,-,-,0%,Honorable,N,N
438,214,辽宁大学,小黄鸭,2,187,+1(50),-,-,-1,+1(137),-,-,-,-,-4,-5,-,-,0%,Honorable,N,N
439,215,陕西师范大学,bronze==win,2,191,+1(77),-,-,-,+1(114),-,-,-,-,-3,-2,-,-,0%,Honorable,N,N
440,,重庆移通学院,搏击长空,2,193,+1(76),-,-,-,+1(117),-,-,-,-,-2,-,-,-,0%,Honorable,N,N
441,216,青岛农业大学,三只小蜜蜂,2,204,+1(34),-,-,-,+1(170),-,-,-,-,-3,-3,-,-,0%,Honorable,N,N
442,217,西藏民族大学,秦汉二,2,210,+1(60),-,-,-,+1(150),-,-,-,-,-1,-,-,-,0%,Honorable,N,N
443,218,南昌理工学院,如寄,2,211,+1(55),-,-,-,-20,-,-,-,-,+1(156),-1,-,-,0%,Honorable,N,N
444,,中原工学院,十五月夜,2,214,+1(64),-,-,-,-13,-,-,-,-,+1(150),-2,-,-,0%,Honorable,N,N
445,,兰州理工大学,小王子队,2,220,+1(137),-,-,-,+1(83),-,-,-,-,-3,-,-,-,0%,Honorable,N,N
446,,东南大学,一拳一个AC怪,2,230,+1(91),-,-,-,+1(139),-,-,-,-,-10,-1,-,-,0%,Honorable,N,N
447,,中国海洋大学,电脑没有显卡能打ACM吗,2,241,+1(25),-,-,-2,-32,-,-,-,-,+1(216),-4,-,-,0%,Honorable,N,N
448,,宁夏大学,宁五,2,249,+1(102),-,-,-,+1(147),-,-,-,-,-2,-,-,-,0%,Honorable,N,N
448,,信息工程大学,强人索楠,2,249,+1(57),-,-,-,+1(192),-,-,-,-,-2,-1,-,-,0%,Honorable,N,N
450,,中国海洋大学,谁还在买gta啊,2,270,+1(116),-,-,-,+1(154),-,-,-,-,-,-2,-,-,0%,Honorable,N,N
451,,南昌大学,cyl欠他队友一顿烤肉,2,289,+1(142),-5,-,-,+1(147),-,-,-,-,-5,-,-,-,0%,Honorable,N,N
452,,贵州大学,请给我们一个铜牌,2,301,+1(29),-,-,-,+1(272),-,-,-,-,-,-1,-,-,0%,Honorable,N,N
453,219,石家庄铁道大学,xlf的航空母舰,2,309,+1(194),-,-,-,+1(115),-,-,-,-,-7,-1,-,-,0%,Honorable,N,N
453,219,东华理工大学,嘟嘟可在哪里,2,309,+1(47),-,-,-,+1(262),-,-,-,-,-11,-,-,-1,0%,Honorable,N,N
455,221,上海工程技术大学,松江斯坦福,2,315,+1(203),-,-,-,+1(112),-,-,-,-,-1,-,-,-,0%,Honorable,N,N
456,,东华理工大学,破晓,2,316,+1(245),-,-,-,+1(71),-,-,-,-,-20,-,-,-,0%,Honorable,N,N
457,222,西安明德理工学院,533 bug机,2,317,+1(103),-,-,-,-9,-,-,-,-,+1(214),-,-,-,0%,Honorable,N,N
458,223,湖南人文科技学院,拜托给个牌,2,324,+1(47),-,-,-,-19,-,-,-,-,+1(277),-,-,-,0%,Honorable,N,N
459,224,成都工业学院,听说拿牌队长就女装,2,335,+1(206),-,-,-1,+1(129),-,-,-,-,-,-,-,-,0%,Honorable,N,N
460,225,上海海事大学,崩坏永存,2,350,+1(139),-,-,-,+1(211),-,-,-,-,-5,-6,-,-,0%,Honorable,N,N
461,,西藏民族大学,秦汉一,2,371,-8,-,-,-,+1(92),-,-,-,-,+1(279),-,-,-,0%,Honorable,N,N
462,,鲁东大学,卓越工程师,2,385,+1(153),-,-,-,-2,-,-,-,-,+1(232),-1,-,-,0%,Honorable,N,N
463,226,海南师范大学,编程的海狮,2,397,+1(196),-,-,-,-9,-,-,-,-,+1(201),-,-,-,0%,Honorable,N,N
464,,宁夏大学,宁二,2,404,+1(123),-,-,-,+1(281),-,-,-,-,-5,-3,-,-,0%,Honorable,N,N
465,,北京电子科技学院,草原上的王者,2,433,+1(191),-,-,-,-4,-,-,-,-,+1(242),-,-,-,0%,Honorable,N,N
466,227,宜春学院,连牌子都保不住，怎么保护丘丘人,2,456,-9,-,-,-,+1(252),-,-,-,-,+1(204),-1,-,-,0%,Honorable,N,N
467,228,广西师范大学,三个臭皮匠,2,467,+1(208),-,-,-10,+1(259),-,-,-,-,-,-2,-,-,0%,Honorable,N,N
468,229,徐州工程学院,啪的一下就过了,2,505,+1(294),-,-,-,-8,-,-,-,-,+1(211),-,-,-,0%,Honorable,N,N
469,,浙江财经大学,读题困难户,1,62,+1(62),-,-,-,-12,-,-,-,-,-6,-3,-,-,0%,Honorable,N,N
470,230,湖北经济学院,汤逊湖畔,1,78,+1(78),-,-,-,-3,-,-,-,-,-6,-,-,-,0%,Honorable,N,N
471,,上海海事大学,用毒毒毒蛇会不会被毒毒死啊,1,90,+1(90),-,-,-,-4,-,-,-,-,-9,-1,-,-,0%,Honorable,N,N
472,231,金华职业技术学院,白狗苍云,1,94,-11,-2,-,-,-8,-,-,-,-,+1(94),-,-,-,0%,Honorable,N,N
473,,内蒙古科技大学,Are you OK,1,100,+1(100),-,-,-,-8,-,-,-,-,-13,-,-,-,0%,Honorable,N,N
474,232,通化师范学院,我都行,1,101,+1(101),-,-,-,-2,-,-,-,-,-,-,-,-,0%,Honorable,N,N
475,233,贵州民族大学,求爸爸给个铜吧,1,132,+1(132),-2,-2,-3,-1,-3,-1,-3,-2,-1,-3,-1,-1,0%,Honorable,N,N
476,234,上海应用技术大学,下次一定起飞队,1,140,+1(140),-,-,-,-,-,-,-,-,-12,-,-,-,0%,Honorable,N,N
477,,宁夏大学,宁三,1,141,-4,-,-,-,+1(141),-,-,-,-,-,-,-,-,0%,Honorable,N,N
478,,石河子大学,天马行空队,1,176,-5,-,-,-,+1(176),-,-,-,-,-2,-,-,-,0%,Honorable,N,N
479,,内蒙古师范大学,IMNU,0,0,-6,-,-,-,-3,-,-,-,-,-,-,-,-1,0%,Honorable,N,N
479,,陕西师范大学,The attacking team,0,0,-3,-,-,-,-2,-,-,-,-,-,-2,-,-,0%,Honorable,N,N
479,235,北方民族大学,UTF杠八,0,0,-7,-,-,-,-,-,-,-,-,-4,-,-,-,0%,Honorable,N,N
479,,上海建桥学院,三个有很多头发的臭皮匠,0,0,-2,-,-,-5,-6,-,-,-,-,-1,-,-,-2,0%,Honorable,N,N
479,235,湖北中医药大学,人均身高180,0,0,-14,-,-,-,-,-,-,-,-,-3,-1,-,-,0%,Honorable,N,N
479,235,内蒙古农业大学职业技术学院,内农大职院,0,0,-7,-,-,-1,-,-,-,-,-,-,-,-,-,0%,Honorable,N,N
479,235,贵州师范学院,我们都是来打酱油，学习的,0,0,-12,-,-,-,-3,-,-,-,-1,-,-,-,-,0%,Honorable,N,N
479,235,黔南民族师范学院,明天,0,0,-3,-,-,-,-,-,-,-,-,-3,-,-,-,0%,Honorable,N,N
479,,北京大学,校门外歪脖树上的鸽子,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,Honorable,N,N
479,,北方民族大学,水之边,0,0,-3,-,-,-,-1,-,-,-,-,-,-,-,-,0%,Honorable,N,N
479,,西藏民族大学,秦汉三,0,0,-,-,-,-,-4,-,-,-,-,-,-,-,-,0%,Honorable,N,N
479,235,郑州升达经贸管理学院,铜锣湾,0,0,-5,-,-,-,-2,-,-,-,-,-,-,-,-,0%,Honorable,N,N
479,235,安徽建筑大学,非应急食品,0,0,-5,-,-,-1,-2,-,-,-,-,-1,-,-1,-,0%,Honorable,N,N
