Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Unofficial,Girl
68,44,中国计量大学,一趴一躺一吃瓜,5,620,+1(26),-,-,-,+1(83),-,+1(295),-,-,+1(61),+1(155),-,-,0%,Silver,N,N
70,46,北京化工大学,啊，这,5,623,+1(37),-,-,-,+1(58),-,+1(261),-,-,+1(72),+1(195),-,-,0%,Silver,N,N
71,,南方科技大学,南方科技大学-日内瓦,5,625,+1(29),-1,-,-,+1(50),-,+1(241),-,-,+1(146),+1(159),-,-,0%,Silver,N,N
72,47,华东交通大学,远距离投石,5,628,+1(34),-14,-,-,+1(119),-,+1(258),-,-,+1(93),+1(124),-,-,0%,Silver,N,N
73,,厦门大学,你又会了,5,630,+1(28),-3,-,-,+1(53),-,+1(226),-,-,+1(75),+1(248),-,-,0%,Silver,N,N
74,48,河海大学,几丁质,5,641,+1(19),-1,-,-,+1(41),-,+1(299),-,-,+1(56),+1(226),-,-,0%,Silver,N,N
75,49,西安电子科技大学,蔚蓝,5,642,+1(19),-,-,-,+1(80),-,+1(258),-,-,+1(114),+1(171),-,-,0%,Silver,N,N
76,50,惠州学院,绽华之刻,5,643,+1(59),-2,-,-1,+1(93),-,+1(256),-,-,+1(73),+1(162),-,-,0%,Silver,N,N
77,51,长春理工大学,给我一杯Mojito,5,659,+1(39),-,-,-,+1(89),-,+1(298),-,-,+1(82),+1(151),-,-,0%,Silver,N,N
78,52,北京师范大学,人菜瘾大,5,675,+1(24),-,-,-,+1(80),-,+1(289),-,-,+1(56),+1(226),-,-,0%,Silver,N,N
78,52,中国地质大学（武汉）,胜天半子,5,675,+1(25),+1(293),-,-,+1(68),-,-,-,-,+1(106),+1(183),-,-,0%,Silver,N,N
80,54,山东科技大学,NCC1031 发现号,5,676,+1(41),-8,-,-5,+1(68),-,+1(246),-,-,+1(92),+1(229),-,-,0%,Silver,N,N
81,55,哈尔滨工程大学,R.M.T,5,680,+1(21),-1,-,-,+1(55),-,+1(298),-,-,+1(127),+1(179),-,-,0%,Silver,N,N
82,,南京航空航天大学,我全都要,5,749,+1(27),-2,-,-,+1(134),-,+1(274),-,-,+1(132),+1(182),-,-,0%,Silver,N,N
83,56,哈尔滨工业大学（威海）,掘金打铁,5,751,+1(17),-1,-,-,+1(53),-,+1(272),-,-,+1(212),+1(197),-,-,0%,Silver,N,N
84,57,浙江理工大学,你好骚啊,5,780,+1(17),-,-,-,+1(170),-,+1(283),-,-,+1(109),+1(201),-,-,0%,Silver,N,N
85,58,齐鲁工业大学,最后一站,5,799,+1(25),-,-,-,+1(53),-,+1(289),-,-,+1(206),+1(226),-,-,0%,Silver,N,N
86,,同济大学,黄渡代码俱乐部,5,809,+1(21),-,-,-,+1(57),-,+1(288),-,-,+1(241),+1(202),-,-,0%,Silver,N,N
87,59,华东师范大学（软件）,玉米炒葡萄,4,199,+1(21),-4,-,-,+1(49),-,-3,-,-,+1(40),+1(89),-,-,0%,Silver,N,N
88,,中山大学,未完待续,4,207,+1(19),-12,-,-,+1(54),-,-,-,-,+1(35),+1(99),-,-,0%,Silver,N,N
89,,武汉大学,啊啊啊啊唉,4,211,+1(22),-7,-,-,+1(42),-,-6,-,-,+1(56),+1(91),-,-,0%,Silver,N,N
90,,北京大学,好丽友派,4,213,+1(16),-2,-,-3,+1(47),-,-,-,-,+1(52),+1(98),-,-1,0%,Silver,N,N
90,60,大连理工大学,打铁上班,4,213,+1(21),-3,-,-,+1(44),-,-,-,-,+1(35),+1(113),-,-,0%,Silver,N,N
92,61,吉林大学,青眼白龙,4,214,+1(17),-3,-,-,+1(44),-,-6,-,-,+1(51),+1(102),-,-,0%,Silver,N,N
93,,南京大学,别卷了别卷了,4,224,+1(27),-1,-,-1,+1(60),-,-1,-,-,+1(41),+1(96),-,-,0%,Silver,N,N
94,62,四川大学,穷极土块,4,225,+1(12),-5,-,-,+1(54),-,-5,-,-,+1(39),+1(120),-,-,0%,Silver,N,N
95,63,青岛大学,AC钙奶,4,232,+1(25),-2,-,-1,+1(52),-,-4,-,-,+1(47),+1(108),-,-,0%,Silver,N,N
96,64,天津大学,金川银川，不如咱的铁川,4,236,+1(19),-,-,-,+1(50),-,-4,-,-,+1(53),+1(114),-,-,0%,Silver,N,N
97,,华南理工大学,清炖鸽子汤,4,238,+1(15),-7,-,-,+1(42),-,-,-,-,+1(56),+1(125),-,-,0%,Silver,N,N
98,,深圳大学,Jik Sapzi,4,245,+1(18),-,-,-,+1(46),-,-3,-,-,+1(53),+1(128),-,-,0%,Silver,N,N
