Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Unofficial,Girl
48,29,Changsha University,fishing team,4,490,+1(163),-,-,-,-1,-,-,+1(34),-,-,+1(83),+1(210),0%,N,N
49,,Hong Kong University of Science and Technology,in hsk we trust,3,79,+1(44),-,-,-,-,-5,-2,+1(7),-,-,+1(28),-,0%,N,N
50,,Shanghai Jiao Tong University,Drink Northwestern Wind,3,94,+1(67),-,-,-,-,-10,-,+1(9),-,-,+1(18),-5,0%,N,N
51,30,Wuhan University of Technology,Isn't CCTVï¼Ÿ,3,123,+1(85),-,-,-,-,-,-,+1(11),-,-,+1(27),-3,0%,N,N
52,,University of Electronic Science and Technology of China,UESTC_Cdr_pup,3,133,+1(82),-,-,-,-,-3,-,+1(10),-,-,+1(41),-,0%,N,N
53,,Zhongshan (Sun Yat-sen) University,SYSU_Hong Kong Journalists,3,147,+1(73),-,-,-,-3,-7,-,+1(25),-,-,+1(49),-,0%,N,N
54,31,Jiaxing University,Yoimiyaï¼ŒI love you.,3,152,+1(102),-,-1,-,-,-2,-1,+1(17),-,-,+1(33),-3,0%,N,N
55,32,JiangNan University,TEAM OP,3,154,+1(85),-,-,-,-,-2,-,+1(18),-,-,+1(51),-,0%,N,N
55,32,Harbin Institute of Technology at Shenzhen,WAgoRhythm,3,154,+1(89),-,-,-,-,-3,-,+1(13),-,-,+1(52),-,0%,N,N
57,34,Xinjiang University,xju01,3,157,+1(92),-,-,-,-,-,-,+1(19),-,-,+1(46),-15,0%,N,N
57,,Wuhan University of Technology,Three vegetable dogs,3,157,+1(98),-,-,-,-,-,-,+1(21),-,-,+1(38),-1,0%,N,N
59,35,Chongqing Jiaotong University,Do cyber hamsters dream of virtual fried onion rings?,3,166,+1(122),-1,-,-,-11,-,-,+1(14),-,-,+1(30),-,0%,N,N
60,,Huazhong University of Science and Technology,Sweating Bugcat,3,169,+1(84),-,-,-,-,-3,-,+1(32),-,-,+1(53),-2,0%,N,N
61,,Harbin Institute of Technology at Shenzhen,Why hungry as soon as start programming,3,171,+1(108),-,-,-,-,-,-,+1(14),-,-,+1(49),-2,0%,N,N
