Rank,School Rank,School,Team,Solved,Penalty,Member1,Member2,Member3,Medal,Unofficial,Girl
127,,武汉大学,大本钟下开邮局,3,635,万宇恒,苏禹畅,林锟扬,Bronze,N,N
128,81,宁波大学,转世成为丘丘人这件事,3,636,曾佳敏,余嘉瑜,俞智超,Bronze,N,N
129,,成都信息工程大学,自动wawa机,3,638,胡峻搏,周博文,黄俊杰,Bronze,N,N
130,,新疆大学,xju01,3,638,李佳胜,罗逸聪,邹炎均,Bronze,N,N
131,,湖南农业大学,取队名就是量子技术,3,639,胡忠祥,刘嘉诚,王溪超,Bronze,N,N
132,82,四川大学,江山代有才人秃,3,640,辛梓杰,李毓,牛佳文,Bronze,N,N
133,82,福州大学,精准,3,640,李鸿宇,王奕然,林铮翔,Bronze,N,N
134,84,南京信息工程大学,三个蓝桥杯选手,3,643,张逸凡,鲁哲豪,吴昊,Bronze,N,N
135,85,四川大学,给郭哥哥泡一池子大红袍,3,649,吴咏蔚,郭尧,周雪妍,Bronze,N,N
136,,湖南理工学院,木头儿子最好,3,658,王斯威,陈睿轩,魏文轩,Bronze,N,N
137,,成都信息工程大学,打上花火,3,658,黄亚军,赵钰,李佳彤,Bronze,N,N
138,86,浙江工业大学,ZJUT-earn3,3,660,谢洋帆,胡圣烩,吴昊天,Bronze,N,N
139,86,湖南理工学院,你很有希望,3,667,向杰,李居航,李维逸,Bronze,N,N
140,,中国矿业大学,拿牌子教练就女装,3,691,温耀林,尉高耀,杨忻至,Bronze,N,N
141,,东北大学秦皇岛分校,升空的奖牌，从台上看还是台下看,3,692,胡鸿捷,袁茂恒,刘琛,Bronze,N,N
142,,绍兴文理学院,大吉大利,3,693,孟嘉政,郑柏成,周建伟,Bronze,N,N
143,88,中国地质大学（北京）,为美好的世界献上祝福！,3,701,胡世琦,伍泽鑫,赵笑天,Bronze,N,N
144,,闽南师范大学,JV哥哥爱上我,3,719,唐鑫程,傅俊斌,林俊逸,Bronze,N,N
145,89,深圳大学,SZU-YanranLee,3,731,费楚雯,齐宇轩,陈希哲,Bronze,N,N
146,90,香港中文大学,马料水职业技术学院,3,735,杨译琉,王刘剑夫,周逸祥,Bronze,N,N
147,91,郑州大学,感觉不如线下。。线上,3,738,杨宇航,余清扬,凌鑫,Bronze,N,N
